tube_assembly_id,quantity_component,component_id,component_type_id,component_type,connection_type_id,outside_shape,base_type,height_over_tube,bolt_pattern_long,bolt_pattern_wide,groove,base_diameter,shoulder_diameter,unique_feature,orientation,weight,supplier,quote_date,annual_usage,min_order_quantity,bracket_pricing,quantity,cost
TA-00013,1.0,C-1259,CP-018,Boss,B-004,Round,Saddle,15.0,,,No,,,No,Yes,0.215,S-0026,1992-07-21,50,1,No,1,10.0042843709486
TA-00028,1.0,C-1970,CP-018,Boss,B-004,Round,Saddle,16.0,,,No,,,No,Yes,0.032,S-0062,2011-06-24,3,0,Yes,5,16.709046699643302
TA-00028,1.0,C-1970,CP-018,Boss,B-004,Round,Saddle,16.0,,,No,,,No,Yes,0.032,S-0062,2011-06-24,3,0,Yes,10,10.151733500998802
TA-00046,1.0,C-1233,CP-018,Boss,B-004,Round,Saddle,12.7,,,No,,,No,Yes,0.057999999999999996,S-0026,2010-11-19,15,1,No,1,228.148317132476
TA-00052,2.0,C-1536,CP-018,Boss,B-005,Round,Saddle,15.75,,,No,,,Yes,Yes,0.052000000000000005,S-0066,2013-10-01,0,0,Yes,1,29.5593774864653
TA-00052,2.0,C-1536,CP-018,Boss,B-005,Round,Saddle,15.75,,,No,,,Yes,Yes,0.052000000000000005,S-0066,2013-10-01,0,0,Yes,2,17.699459724131
TA-00052,2.0,C-1536,CP-018,Boss,B-005,Round,Saddle,15.75,,,No,,,Yes,Yes,0.052000000000000005,S-0066,2013-10-01,0,0,Yes,5,10.582952654919
TA-00052,2.0,C-1536,CP-018,Boss,B-005,Round,Saddle,15.75,,,No,,,Yes,Yes,0.052000000000000005,S-0066,2013-10-01,0,0,Yes,10,8.20985627882909
TA-00052,2.0,C-1536,CP-018,Boss,B-005,Round,Saddle,15.75,,,No,,,Yes,Yes,0.052000000000000005,S-0066,2013-10-01,0,0,Yes,25,6.7882241004212
TA-00052,2.0,C-1536,CP-018,Boss,B-005,Round,Saddle,15.75,,,No,,,Yes,Yes,0.052000000000000005,S-0066,2013-10-01,0,0,Yes,50,6.379261418961401
TA-00052,2.0,C-1536,CP-018,Boss,B-005,Round,Saddle,15.75,,,No,,,Yes,Yes,0.052000000000000005,S-0066,2013-10-01,0,0,Yes,100,6.19286346210557
TA-00052,2.0,C-1536,CP-018,Boss,B-005,Round,Saddle,15.75,,,No,,,Yes,Yes,0.052000000000000005,S-0066,2013-10-01,0,0,Yes,250,6.081581099803589
TA-00166,1.0,C-1925,CP-018,Boss,B-005,Round,Saddle,20.0,,,No,,,Yes,Yes,0.19699999999999998,S-0064,2008-06-01,450,1,No,1,9.45621873661134
TA-00229,1.0,C-1925,CP-018,Boss,B-005,Round,Saddle,20.0,,,No,,,Yes,Yes,0.19699999999999998,S-0013,2011-05-01,87,5,No,5,9.044473996093991
TA-00249,2.0,C-1536,CP-018,Boss,B-005,Round,Saddle,15.75,,,No,,,Yes,Yes,0.052000000000000005,S-0066,2013-10-01,0,0,Yes,1,26.028944542434697
TA-00249,2.0,C-1536,CP-018,Boss,B-005,Round,Saddle,15.75,,,No,,,Yes,Yes,0.052000000000000005,S-0066,2013-10-01,0,0,Yes,2,15.838262214630301
TA-00249,2.0,C-1536,CP-018,Boss,B-005,Round,Saddle,15.75,,,No,,,Yes,Yes,0.052000000000000005,S-0066,2013-10-01,0,0,Yes,5,9.72329640613611
TA-00249,2.0,C-1536,CP-018,Boss,B-005,Round,Saddle,15.75,,,No,,,Yes,Yes,0.052000000000000005,S-0066,2013-10-01,0,0,Yes,10,7.6840471169521996
TA-00249,2.0,C-1536,CP-018,Boss,B-005,Round,Saddle,15.75,,,No,,,Yes,Yes,0.052000000000000005,S-0066,2013-10-01,0,0,Yes,25,6.46272319068789
TA-00249,2.0,C-1536,CP-018,Boss,B-005,Round,Saddle,15.75,,,No,,,Yes,Yes,0.052000000000000005,S-0066,2013-10-01,0,0,Yes,50,6.12052992660928
TA-00249,2.0,C-1536,CP-018,Boss,B-005,Round,Saddle,15.75,,,No,,,Yes,Yes,0.052000000000000005,S-0066,2013-10-01,0,0,Yes,100,5.967516678444049
TA-00249,2.0,C-1536,CP-018,Boss,B-005,Round,Saddle,15.75,,,No,,,Yes,Yes,0.052000000000000005,S-0066,2013-10-01,0,0,Yes,250,5.87570872954491
TA-00350,1.0,C-1535,CP-018,Boss,B-005,Round,Saddle,15.75,,,No,,,Yes,Yes,0.052000000000000005,S-0015,2012-12-15,1,10,No,1,27.4450126027275
TA-00454,1.0,C-1417,CP-018,Boss,B-004,Round,Saddle,12.7,,,No,,,No,Yes,0.034,S-0066,1995-11-01,1,5,No,5,22.7516789726412
TA-00469,1.0,C-1925,CP-018,Boss,B-005,Round,Saddle,20.0,,,No,,,Yes,Yes,0.19699999999999998,S-0066,2011-08-01,2,5,No,1,50.5027180716992
TA-00473,1.0,C-1505,CP-018,Boss,B-004,Round,Shoulder,4.76,,,No,25.4,22.22,No,Yes,0.045,S-0026,2014-04-01,1,0,Yes,1,198.218925791357
TA-00473,1.0,C-1505,CP-018,Boss,B-004,Round,Shoulder,4.76,,,No,25.4,22.22,No,Yes,0.045,S-0026,2014-04-01,1,0,Yes,2,102.212849774375
TA-00473,1.0,C-1505,CP-018,Boss,B-004,Round,Shoulder,4.76,,,No,25.4,22.22,No,Yes,0.045,S-0026,2014-04-01,1,0,Yes,3,69.0896546351886
TA-00473,1.0,C-1505,CP-018,Boss,B-004,Round,Shoulder,4.76,,,No,25.4,22.22,No,Yes,0.045,S-0026,2014-04-01,1,0,Yes,4,53.3682389009754
TA-00473,1.0,C-1505,CP-018,Boss,B-004,Round,Shoulder,4.76,,,No,25.4,22.22,No,Yes,0.045,S-0026,2014-04-01,1,0,Yes,5,43.937058695881994
TA-00647,1.0,C-1431,CP-018,Boss,B-005,Round,Saddle,15.75,,,No,,,Yes,Yes,0.1,S-0064,2011-07-14,13,0,Yes,3,82.7634749030452
TA-00647,1.0,C-1431,CP-018,Boss,B-005,Round,Saddle,15.75,,,No,,,Yes,Yes,0.1,S-0064,2011-07-14,13,0,Yes,6,58.0893931216372
TA-00647,1.0,C-1431,CP-018,Boss,B-005,Round,Saddle,15.75,,,No,,,Yes,Yes,0.1,S-0064,2011-07-14,13,0,Yes,9,50.1438324532753
TA-00647,1.0,C-1431,CP-018,Boss,B-005,Round,Saddle,15.75,,,No,,,Yes,Yes,0.1,S-0064,2011-07-14,13,0,Yes,12,45.892846213339396
TA-00651,1.0,C-1233,CP-018,Boss,B-004,Round,Saddle,12.7,,,No,,,No,Yes,0.057999999999999996,S-0026,2007-11-16,10,10,No,10,15.4098251197676
TA-00729,1.0,C-1417,CP-018,Boss,B-004,Round,Saddle,12.7,,,No,,,No,Yes,0.034,S-0066,2011-08-01,442,55,No,1,8.01789420385816
TA-00864,1.0,C-1536,CP-018,Boss,B-005,Round,Saddle,15.75,,,No,,,Yes,Yes,0.052000000000000005,S-0066,2013-10-01,0,0,Yes,1,29.456441301335897
TA-00864,1.0,C-1536,CP-018,Boss,B-005,Round,Saddle,15.75,,,No,,,Yes,Yes,0.052000000000000005,S-0066,2013-10-01,0,0,Yes,2,17.596523539001698
TA-00864,1.0,C-1536,CP-018,Boss,B-005,Round,Saddle,15.75,,,No,,,Yes,Yes,0.052000000000000005,S-0066,2013-10-01,0,0,Yes,5,10.480016469789598
TA-00864,1.0,C-1536,CP-018,Boss,B-005,Round,Saddle,15.75,,,No,,,Yes,Yes,0.052000000000000005,S-0066,2013-10-01,0,0,Yes,10,8.106920093699749
TA-00864,1.0,C-1536,CP-018,Boss,B-005,Round,Saddle,15.75,,,No,,,Yes,Yes,0.052000000000000005,S-0066,2013-10-01,0,0,Yes,25,6.68528791529187
TA-00864,1.0,C-1536,CP-018,Boss,B-005,Round,Saddle,15.75,,,No,,,Yes,Yes,0.052000000000000005,S-0066,2013-10-01,0,0,Yes,50,6.27632523383206
TA-00864,1.0,C-1536,CP-018,Boss,B-005,Round,Saddle,15.75,,,No,,,Yes,Yes,0.052000000000000005,S-0066,2013-10-01,0,0,Yes,100,6.08992727697624
TA-00864,1.0,C-1536,CP-018,Boss,B-005,Round,Saddle,15.75,,,No,,,Yes,Yes,0.052000000000000005,S-0066,2013-10-01,0,0,Yes,250,5.97864491467425
TA-00885,1.0,C-1536,CP-018,Boss,B-005,Round,Saddle,15.75,,,No,,,Yes,Yes,0.052000000000000005,S-0066,2013-10-01,0,0,Yes,1,29.4926080690841
TA-00885,1.0,C-1536,CP-018,Boss,B-005,Round,Saddle,15.75,,,No,,,Yes,Yes,0.052000000000000005,S-0066,2013-10-01,0,0,Yes,2,17.6326903067498
TA-00885,1.0,C-1536,CP-018,Boss,B-005,Round,Saddle,15.75,,,No,,,Yes,Yes,0.052000000000000005,S-0066,2013-10-01,0,0,Yes,5,10.5161832375378
TA-00885,1.0,C-1536,CP-018,Boss,B-005,Round,Saddle,15.75,,,No,,,Yes,Yes,0.052000000000000005,S-0066,2013-10-01,0,0,Yes,10,8.14586892050544
TA-00885,1.0,C-1536,CP-018,Boss,B-005,Round,Saddle,15.75,,,No,,,Yes,Yes,0.052000000000000005,S-0066,2013-10-01,0,0,Yes,25,6.72145468304001
TA-00885,1.0,C-1536,CP-018,Boss,B-005,Round,Saddle,15.75,,,No,,,Yes,Yes,0.052000000000000005,S-0066,2013-10-01,0,0,Yes,50,6.3124920015802095
TA-00885,1.0,C-1536,CP-018,Boss,B-005,Round,Saddle,15.75,,,No,,,Yes,Yes,0.052000000000000005,S-0066,2013-10-01,0,0,Yes,100,6.12609404472438
TA-00885,1.0,C-1536,CP-018,Boss,B-005,Round,Saddle,15.75,,,No,,,Yes,Yes,0.052000000000000005,S-0066,2013-10-01,0,0,Yes,250,6.01481168242239
TA-00886,1.0,C-1536,CP-018,Boss,B-005,Round,Saddle,15.75,,,No,,,Yes,Yes,0.052000000000000005,S-0066,2013-10-01,0,0,Yes,1,29.370197470551897
TA-00886,1.0,C-1536,CP-018,Boss,B-005,Round,Saddle,15.75,,,No,,,Yes,Yes,0.052000000000000005,S-0066,2013-10-01,0,0,Yes,2,17.5102797082176
TA-00886,1.0,C-1536,CP-018,Boss,B-005,Round,Saddle,15.75,,,No,,,Yes,Yes,0.052000000000000005,S-0066,2013-10-01,0,0,Yes,5,10.396554698063099
TA-00886,1.0,C-1536,CP-018,Boss,B-005,Round,Saddle,15.75,,,No,,,Yes,Yes,0.052000000000000005,S-0066,2013-10-01,0,0,Yes,10,8.02345832197326
TA-00886,1.0,C-1536,CP-018,Boss,B-005,Round,Saddle,15.75,,,No,,,Yes,Yes,0.052000000000000005,S-0066,2013-10-01,0,0,Yes,25,6.59904408450782
TA-00886,1.0,C-1536,CP-018,Boss,B-005,Round,Saddle,15.75,,,No,,,Yes,Yes,0.052000000000000005,S-0066,2013-10-01,0,0,Yes,50,6.19286346210557
TA-00886,1.0,C-1536,CP-018,Boss,B-005,Round,Saddle,15.75,,,No,,,Yes,Yes,0.052000000000000005,S-0066,2013-10-01,0,0,Yes,100,6.00646550524974
TA-00886,1.0,C-1536,CP-018,Boss,B-005,Round,Saddle,15.75,,,No,,,Yes,Yes,0.052000000000000005,S-0066,2013-10-01,0,0,Yes,250,5.892401083890211
TA-00968,1.0,C-1764,CP-018,Boss,B-004,Round,Flat Bottom,10.0,,,No,14.0,,No,Yes,0.009000000000000001,S-0026,1995-02-20,25,1,No,1,15.980147226565302
TA-00970,1.0,C-1231,CP-018,Boss,B-004,Round,Saddle,12.7,,,No,,,No,Yes,0.015,S-0064,2008-02-14,4,0,Yes,1,414.13174718872904
TA-00970,1.0,C-1231,CP-018,Boss,B-004,Round,Saddle,12.7,,,No,,,No,Yes,0.015,S-0064,2008-02-14,4,0,Yes,2,250.396443415701
TA-00970,1.0,C-1231,CP-018,Boss,B-004,Round,Saddle,12.7,,,No,,,No,Yes,0.015,S-0064,2008-02-14,4,0,Yes,3,191.644920238367
TA-00970,1.0,C-1231,CP-018,Boss,B-004,Round,Saddle,12.7,,,No,,,No,Yes,0.015,S-0064,2008-02-14,4,0,Yes,4,159.834856974344
TA-01069,1.0,C-1431,CP-018,Boss,B-005,Round,Saddle,15.75,,,No,,,Yes,Yes,0.1,S-0066,2004-03-03,1,0,Yes,2,70.458427691503
TA-01069,1.0,C-1431,CP-018,Boss,B-005,Round,Saddle,15.75,,,No,,,Yes,Yes,0.1,S-0066,2004-03-03,1,0,Yes,10,54.099920433111
TA-01069,1.0,C-1431,CP-018,Boss,B-005,Round,Saddle,15.75,,,No,,,Yes,Yes,0.1,S-0066,2004-03-03,1,0,Yes,15,48.449558487227605
TA-01069,1.0,C-1431,CP-018,Boss,B-005,Round,Saddle,15.75,,,No,,,Yes,Yes,0.1,S-0066,2004-03-03,1,0,Yes,20,45.6285506028722
TA-01341,1.0,C-1503,CP-018,Boss,B-005,Round,Saddle,26.0,,,No,,,Yes,Yes,0.455,S-0066,2010-06-15,14,1,No,1,34.742353510680296
TA-01604,1.0,C-1256,CP-018,Boss,B-005,Round,Shoulder,13.0,,,No,40.0,29.0,Yes,Yes,0.14,S-0066,2007-04-12,3,1,No,1,123.87396159645701
TA-01676,1.0,C-1535,CP-018,Boss,B-005,Round,Saddle,15.75,,,No,,,Yes,Yes,0.052000000000000005,S-0064,2013-04-17,2,0,Yes,2,65.022284293051
TA-01676,1.0,C-1535,CP-018,Boss,B-005,Round,Saddle,15.75,,,No,,,Yes,Yes,0.052000000000000005,S-0064,2013-04-17,2,0,Yes,3,47.6399793014806
TA-01676,1.0,C-1535,CP-018,Boss,B-005,Round,Saddle,15.75,,,No,,,Yes,Yes,0.052000000000000005,S-0064,2013-04-17,2,0,Yes,4,38.9488268056954
TA-01676,1.0,C-1535,CP-018,Boss,B-005,Round,Saddle,15.75,,,No,,,Yes,Yes,0.052000000000000005,S-0064,2013-04-17,2,0,Yes,5,33.7352481318473
TA-01739,1.0,C-1973,CP-018,Boss,B-004,Round,Saddle,19.05,,,No,31.75,,No,Yes,0.05,S-0064,2001-03-29,6,10,No,1,50.3552689416491
TA-01757,1.0,C-1505,CP-018,Boss,B-004,Round,Shoulder,4.76,,,No,25.4,22.22,No,Yes,0.045,S-0014,2002-08-22,0,0,Yes,2,24.2651190999483
TA-01757,1.0,C-1505,CP-018,Boss,B-004,Round,Shoulder,4.76,,,No,25.4,22.22,No,Yes,0.045,S-0014,2002-08-22,0,0,Yes,4,13.832397634137001
TA-01757,1.0,C-1505,CP-018,Boss,B-004,Round,Shoulder,4.76,,,No,25.4,22.22,No,Yes,0.045,S-0014,2002-08-22,0,0,Yes,6,10.3548238121999
TA-01757,1.0,C-1505,CP-018,Boss,B-004,Round,Shoulder,4.76,,,No,25.4,22.22,No,Yes,0.045,S-0014,2002-08-22,0,0,Yes,8,8.61603690123134
TA-01757,1.0,C-1505,CP-018,Boss,B-004,Round,Shoulder,4.76,,,No,25.4,22.22,No,Yes,0.045,S-0014,2002-08-22,0,0,Yes,10,7.57276475465021
TA-01899,1.0,C-0165,CP-018,Boss,B-005,Round,Shoulder,12.0,,,No,30.0,25.0,No,Yes,0.046,S-0026,2012-03-15,12,0,Yes,2,94.342404700567
TA-01899,1.0,C-0165,CP-018,Boss,B-005,Round,Shoulder,12.0,,,No,30.0,25.0,No,Yes,0.046,S-0026,2012-03-15,12,0,Yes,3,67.56786833070889
TA-01899,1.0,C-0165,CP-018,Boss,B-005,Round,Shoulder,12.0,,,No,30.0,25.0,No,Yes,0.046,S-0026,2012-03-15,12,0,Yes,4,53.58245744840671
TA-01899,1.0,C-0165,CP-018,Boss,B-005,Round,Shoulder,12.0,,,No,30.0,25.0,No,Yes,0.046,S-0026,2012-03-15,12,0,Yes,5,45.909538567684706
TA-01899,1.0,C-0165,CP-018,Boss,B-005,Round,Shoulder,12.0,,,No,30.0,25.0,No,Yes,0.046,S-0026,2012-03-15,12,0,Yes,6,40.7905499017933
TA-01940,1.0,C-0199,CP-018,Boss,B-004,Round,Shoulder,23.6,,,No,33.33,23.9,Yes,Yes,0.1,S-0066,2001-05-10,10,1,No,1,188.12839758962397
TA-01944,1.0,C-0199,CP-018,Boss,B-004,Round,Shoulder,23.6,,,No,33.33,23.9,Yes,Yes,0.1,S-0066,2011-08-01,10,0,Yes,1,395.800760058534
TA-01944,1.0,C-0199,CP-018,Boss,B-004,Round,Shoulder,23.6,,,No,33.33,23.9,Yes,Yes,0.1,S-0066,2011-08-01,10,0,Yes,3,182.834139203107
TA-01944,1.0,C-0199,CP-018,Boss,B-004,Round,Shoulder,23.6,,,No,33.33,23.9,Yes,Yes,0.1,S-0066,2011-08-01,10,0,Yes,5,138.563233420319
TA-01944,1.0,C-0199,CP-018,Boss,B-004,Round,Shoulder,23.6,,,No,33.33,23.9,Yes,Yes,0.1,S-0066,2011-08-01,10,0,Yes,10,107.23446637325199
TA-01947,1.0,C-0161,CP-020,,9999,,,19.2,76.2,,No,,,No,Yes,0.5589999999999999,S-0066,2012-10-02,575,40,No,40,45.8177306187856
TA-01949,1.0,C-0199,CP-018,Boss,B-004,Round,Shoulder,23.6,,,No,33.33,23.9,Yes,Yes,0.1,S-0066,2001-05-10,10,1,No,1,180.00200308252101
TA-01952,1.0,C-1426,CP-018,Boss,B-005,Round,Shoulder,17.53,,,No,31.75,24.61,Yes,Yes,0.071,S-0066,2004-03-11,5,1,No,1,25.5977253885145
TA-02199,1.0,C-1410,CP-018,Boss,B-004,Round,Flat Bottom,22.23,,,No,31.75,,No,Yes,0.005,S-0026,1997-05-01,10,1,No,1,203.73296684342
TA-02222,1.0,C-1233,CP-018,Boss,B-004,Round,Saddle,12.7,,,No,,,No,Yes,0.057999999999999996,S-0026,2013-02-12,1,0,Yes,2,62.9023552911981
TA-02222,1.0,C-1233,CP-018,Boss,B-004,Round,Saddle,12.7,,,No,,,No,Yes,0.057999999999999996,S-0026,2013-02-12,1,0,Yes,3,43.40846747494761
TA-02222,1.0,C-1233,CP-018,Boss,B-004,Round,Saddle,12.7,,,No,,,No,Yes,0.057999999999999996,S-0026,2013-02-12,1,0,Yes,4,33.006348658769305
TA-02222,1.0,C-1233,CP-018,Boss,B-004,Round,Saddle,12.7,,,No,,,No,Yes,0.057999999999999996,S-0026,2013-02-12,1,0,Yes,5,27.550730846914398
TA-02264,1.0,C-1417,CP-018,Boss,B-004,Round,Saddle,12.7,,,No,,,No,Yes,0.034,S-0026,1997-12-04,15,1,Yes,1,41.8282579302593
TA-02264,1.0,C-1417,CP-018,Boss,B-004,Round,Saddle,12.7,,,No,,,No,Yes,0.034,S-0026,2011-05-02,4,2,Yes,2,92.4450404233181
TA-02265,1.0,C-1417,CP-018,Boss,B-004,Round,Saddle,12.7,,,No,,,No,Yes,0.034,S-0026,2012-03-16,186,4,No,1,50.5194104260445
TA-02266,1.0,C-1417,CP-018,Boss,B-004,Round,Saddle,12.7,,,No,,,No,Yes,0.034,S-0026,1997-12-04,10,1,No,1,57.627571318083895
TA-02279,1.0,C-1536,CP-018,Boss,B-005,Round,Saddle,15.75,,,No,,,Yes,Yes,0.052000000000000005,S-0041,2013-08-05,220,40,No,40,5.892401083890211
TA-02353,1.0,C-0245,CP-018,Boss,B-004,Round,Shoulder,20.5,,,No,26.9,20.6,Yes,Yes,0.1,S-0066,1998-02-28,1,1,No,1,106.769862510641
TA-02534,1.0,C-0165,CP-018,Boss,B-005,Round,Shoulder,12.0,,,No,30.0,25.0,No,Yes,0.046,S-0066,2011-08-01,120,12,No,1,20.2478258208465
TA-02535,1.0,C-0165,CP-018,Boss,B-005,Round,Shoulder,12.0,,,No,30.0,25.0,No,Yes,0.046,S-0066,1998-07-27,9,1,No,1,65.4618496241438
TA-02597,1.0,C-0213,CP-018,Stud,B-002,Round,Saddle,22.35,,,No,,,No,Yes,0.159,S-0041,2012-11-02,2,3,No,3,28.140527367114895
TA-03059,1.0,C-1506,CP-018,Boss,B-004,Round,Shoulder,9.53,,,No,22.22,18.26,No,Yes,0.021,S-0066,2000-07-11,0,0,Yes,3,59.1521396816212
TA-03059,1.0,C-1506,CP-018,Boss,B-004,Round,Shoulder,9.53,,,No,22.22,18.26,No,Yes,0.021,S-0066,2000-07-11,0,0,Yes,5,40.2953433895495
TA-03059,1.0,C-1506,CP-018,Boss,B-004,Round,Shoulder,9.53,,,No,22.22,18.26,No,Yes,0.021,S-0066,2000-07-11,0,0,Yes,10,26.1541372000245
TA-03059,1.0,C-1506,CP-018,Boss,B-004,Round,Shoulder,9.53,,,No,22.22,18.26,No,Yes,0.021,S-0066,2000-07-11,0,0,Yes,25,16.6812261090678
